Representative,Bills,Committees,District,Party
Daniel J. Burke,Bills,Committees,1,D
Edward J. Acevedo,Bills,Committees,2,D
Luis Arroyo,Bills,Committees,3,D
Cynthia Soto,Bills,Committees,4,D
Kenneth Dunkin,Bills,Committees,5,D
Sonya M. Harper,Bills,Committees,6,D
Emanuel Chris Welch,Bills,Committees,7,D
La Shawn K. Ford,Bills,Committees,8,D
Arthur Turner,Bills,Committees,9,D
Pamela Reaves-Harris,Bills,Committees,10,D
Ann M. Williams,Bills,Committees,11,D
Sara Feigenholtz,Bills,Committees,12,D
Gregory Harris,Bills,Committees,13,D
Kelly M. Cassidy,Bills,Committees,14,D
John C. D'Amico,Bills,Committees,15,D
Lou Lang,Bills,Committees,16,D
Laura Fine,Bills,Committees,17,D
Robyn Gabel,Bills,Committees,18,D
Robert Martwick,Bills,Committees,19,D
Michael P. McAuliffe,Bills,Committees,20,R
Silvana Tabares,Bills,Committees,21,D
Michael J. Madigan,Bills,Committees,22,D
Michael J. Zalewski,Bills,Committees,23,D
Elizabeth Hernandez,Bills,Committees,24,D
Barbara Flynn Currie,Bills,Committees,25,D
Christian L. Mitchell,Bills,Committees,26,D
Monique D. Davis,Bills,Committees,27,D
Robert Rita,Bills,Committees,28,D
Thaddeus Jones,Bills,Committees,29,D
William Davis,Bills,Committees,30,D
Mary E. Flowers,Bills,Committees,31,D
André Thapedi,Bills,Committees,32,D
"Marcus C. Evans, Jr.",Bills,Committees,33,D
"Elgie R. Sims, Jr.",Bills,Committees,34,D
Frances Ann Hurley,Bills,Committees,35,D
Kelly M. Burke,Bills,Committees,36,D
Margo McDermed,Bills,Committees,37,R
Al Riley,Bills,Committees,38,D
Will Guzzardi,Bills,Committees,39,D
"Jaime M. Andrade, Jr.",Bills,Committees,40,D
Grant Wehrli,Bills,Committees,41,R
Jeanne M Ives,Bills,Committees,42,R
Anna Moeller,Bills,Committees,43,D
Fred Crespo,Bills,Committees,44,D
Christine Winger,Bills,Committees,45,R
Deb Conroy,Bills,Committees,46,D
Patricia R. Bellock,Bills,Committees,47,R
Peter Breen,Bills,Committees,48,R
Mike Fortner,Bills,Committees,49,R
Keith R. Wheeler,Bills,Committees,50,R
Ed Sullivan,Bills,Committees,51,R
David McSweeney,Bills,Committees,52,R
David Harris,Bills,Committees,53,R
Thomas Morrison,Bills,Committees,54,R
Martin J. Moylan,Bills,Committees,55,D
Michelle Mussman,Bills,Committees,56,D
Elaine Nekritz,Bills,Committees,57,D
Scott Drury,Bills,Committees,58,D
Carol Sente,Bills,Committees,59,D
Rita Mayfield,Bills,Committees,60,D
Sheri Jesiel,Bills,Committees,61,R
Sam Yingling,Bills,Committees,62,D
Jack D. Franks,Bills,Committees,63,D
Barbara Wheeler,Bills,Committees,64,R
Steven A. Andersson,Bills,Committees,65,R
Michael W. Tryon,Bills,Committees,66,R
Litesa E. Wallace,Bills,Committees,67,D
John M. Cabello,Bills,Committees,68,R
Joe Sosnowski,Bills,Committees,69,R
Robert W. Pritchard,Bills,Committees,70,R
Mike Smiddy,Bills,Committees,71,D
Patrick J. Verschoore,Bills,Committees,72,D
David R. Leitch,Bills,Committees,73,R
Donald L. Moffitt,Bills,Committees,74,R
David A. Welter,Bills,Committees,75,R
Andrew F Skoog,Bills,Committees,76,D
Kathleen Willis,Bills,Committees,77,D
Camille Y. Lilly,Bills,Committees,78,D
Katherine Cloonen,Bills,Committees,79,D
Anthony DeLuca,Bills,Committees,80,D
David S. Olsen,Bills,Committees,81,R
Jim Durkin,Bills,Committees,82,R
Linda Chapa LaVia,Bills,Committees,83,D
Stephanie A. Kifowit,Bills,Committees,84,D
Emily McAsey,Bills,Committees,85,D
"Lawrence Walsh, Jr.",Bills,Committees,86,D
Tim Butler,Bills,Committees,87,R
Keith P. Sommer,Bills,Committees,88,R
Brian W. Stewart,Bills,Committees,89,R
Tom Demmer,Bills,Committees,90,R
Michael D. Unes,Bills,Committees,91,R
Jehan Gordon-Booth,Bills,Committees,92,D
Norine K. Hammond,Bills,Committees,93,R
Randy E. Frese,Bills,Committees,94,R
Avery Bourne,Bills,Committees,95,R
Sue Scherer,Bills,Committees,96,D
Mark Batinick,Bills,Committees,97,R
Natalie A. Manley,Bills,Committees,98,D
Sara Wojcicki Jimenez,Bills,Committees,99,R
C.D. Davidsmeyer,Bills,Committees,100,R
Bill Mitchell,Bills,Committees,101,R
Adam Brown,Bills,Committees,102,R
Carol Ammons,Bills,Committees,103,D
Chad Hays,Bills,Committees,104,R
Dan Brady,Bills,Committees,105,R
Thomas M. Bennett,Bills,Committees,106,R
John Cavaletto,Bills,Committees,107,R
Charles Meier,Bills,Committees,108,R
David B. Reis,Bills,Committees,109,R
Reginald Phillips,Bills,Committees,110,R
Daniel V. Beiser,Bills,Committees,111,D
Dwight Kay,Bills,Committees,112,R
Jay Hoffman,Bills,Committees,113,D
"Eddie Lee Jackson, Sr.",Bills,Committees,114,D
Terri Bryant,Bills,Committees,115,R
"Jerry Costello, II",Bills,Committees,116,D
John Bradley,Bills,Committees,117,D
Brandon W. Phelps,Bills,Committees,118,D
ZZZZ,ZZZZ,ZZZZ,ZZZZ,ZZZZ
